course,program,duration,nos,emgs,misc,ttf,intake,description,uid
Foundation in Science & Technology,Foundation,1 Year,2,2500,3540,"9,000",May/Nov,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Aeroplane Maintenance,Diploma,3 Years,6,2800,3540,"19,600",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Helicopter Maintenance,Diploma,3 Years,6,2800,3540,"16,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Avionics Maintenance,Diploma,3 Years,6,2800,3540,"16,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Telecommunication,Diploma,3 Years,6,2800,3540,"14,100",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Electrical & Electronics,Diploma,3 Years,6,2800,3540,"14,100",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology Welding,Diploma,3 Years,6,2800,3540,"14,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Automotive Maintenance,Diploma,3 Years,6,2800,3540,"15,400",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma in Chemical Engineering Technnology (Process),Diploma,3 Years,6,2800,3540,"14,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma in Chemical Engineering Technnology (Food),Diploma,3 Years,6,2800,3540,"14,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Ship Design,Diploma,3 Years,6,2800,3540,"15,600",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Ship Construction & Maintenance,Diploma,3 Years,6,2800,3540,"15,600",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Marine Engineering,Diploma,3 Years,6,2800,3540,"16,900",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Marine Electrical & Electronic,Diploma,3 Years,6,2800,3540,"16,500",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Mechanical Design & Development,Diploma,3 Years,6,2800,3540,"14,100",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Automoted Regulation & Control,Diploma,3 Years,6,2800,3540,"14,100",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Electromechanical Installation & Maintenance,Diploma,3 Years,6,2800,3540,"14,100",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma of Engineering Technology in Quality Engineering,Diploma,3 Years,6,2800,3540,"14,700",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma in Industrial Logistics,Diploma,3 Years,6,2800,3540,"14,700",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Diploma in Multimedia,Diploma,3 Years,6,2800,3540,"11,700",June/ July,"Submission Deadline before 2 months,IELTS 5.5",43
Bachelor of Engineering Technology (Hons) in Tool & Die,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Product Design,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Business Management,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Supply Chain Mgt,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) in Industrial Design,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) Manufacturing System,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Engineering Technology (Hons) In Networking System,Bachelor,4 Years,8,3100,3540,"19,500",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Computer Engineering (Hons),Bachelor,4 Years,8,3100,3540,"17,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Information Technology (Hons) in Software Engineering,Bachelor,4 Years,8,3100,3540,"17,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of information Technology (Hons) in Computer System Security,Bachelor,4 Years,8,3100,3540,"17,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
Bachelor of Multimedia Technology (Hons) in Interactive Multimedia Design,Bachelor,4 Years,8,3100,3540,"17,600",Jan/July/Sep,"Submission Deadline before 2 months,IELTS 6",43
